1,LAT,LON,TIPOLOGIA,name,LEGALE_RA,UBICAZIONE,City,,,Country,,,
463,40.6620138,16.6094526,Affittacamere,IL MONACO BIANCO,I BORGHESI SNC,VIA LUCANA 200,Matera,103,365,Italy,10,12,42570
464,40.661256,16.6123327,Affittacamere,IL NESPOLO,MICHELE CUSCIANNA,VICO 3° CASALNUOVO 18,Matera,159,2995,Italy,30,4,42360
467,40.6620151,16.6103962,Affittacamere,IL SORRISO DEI SASSI,PIPITONE GIOVANNI,VIA CASALNUOVO 32,Matera,159,2551,Italy,13,11,42121
468,40.660796,16.61314,Affittacamere,IL VENTO DEI SASSI,CRISTINA FERRO,VIA CASALNUOVO 149,Matera,159,2484,Italy,7,7,42243
469,40.6626534,16.5971902,Affittacamere,IL VIAGGIATORE,ICEM SRL,VIA PASSARELLI 13/A,Matera,71,260,Italy,27,11,42116
470,40.6814767,16.5297298,Affittacamere,LA CASA DEL BORGO,ANNA CUSCIANNA,C.DA MONACELLE,Matera,92,276,Italy,3,12,41394
472,40.66830036,16.61055855,Affittacamere,LA DIMORA DI METELLO,NICOLA RIVIELLO,VIA CASALE 2/B,Matera,159,985,Italy,1,9,42276
473,40.666379,16.6043199,Affittacamere,LA CORTE VETERE,LA CORTE VETERE SAS,VIA VETERE 70,Matera,159,828,Italy,,12,42382
474,40.66218,16.610709,Affittacamere,LA NEVIERA NEI SASSI,PLASMATI ROSA,VIA B.BUOZZI 7,Matera,159,194,Italy,5,11,42209
477,40.6610264,16.6120551,Affittacamere,LAMIA,GIUSEPPE MASCIANDARO,RECINTO V°LUCANA 14,Matera,159,2538,Italy,28,7,42530
479,40.6627049,16.6090223,Affittacamere,LE DIMORE DELL'ACQUA,CARELLA DOMENICO MATTEO,Via Emanuele Duni 24,Matera,159,3008,Italy,10,14,43088
480,40.664075,16.611649,Affittacamere,LE DIMORE DELL'IDRIS,HOTEL& RESORT SRL,VIA MADONNA DELL'IDRIS 16-17,Matera,159,2155,Italy,2,20,42226
482,40.66581057,16.60447637,Affittacamere,LE LUMINARIE CITY,ANGELA  LORELLA RUSCIGNO,PIAZZA MULINO 7 C,Matera,71,1630,Italy,46,7,42429
483,40.668147,16.609776,Affittacamere,LE ORIGINI SRLS,EUSTACHIO D'ERCOLE,VIA D'ADDOZIO 5,Matera,159,3837,Italy,11,9,42573
484,40.6672425,16.6042634,Affittacamere,LE VIE DEL CENTRO,CHIRO SAS,VIA ROMA 46,Matera,71,3770,Italy,14,8,42129
485,40.6659605,16.6095018,Affittacamere,L'INCANTO,NUZZOLESE ONOFRIO,VIA DELLE BECCHERIE 91,Matera,159,745,Italy,26,7,42185
486,40.6583221,16.6113357,Affittacamere,LOCUS AMOENUS,PERRONE ELISABETTA,CALATA RIDOLA 62,Matera,159,1994,Italy,4,6,42516
487,40.6632703,16.6092022,Affittacamere,MARY,MARIA ROSARIA ROBERTI,VICO ii E. DUNI 20,Matera,159,2921,Italy,1,6,42474
488,40.6752412,16.5779617,Affittacamere,MASSERIA SANTA LUCIA,MASSERIA S. LUCIA S.A.S.,VIA DEI MESTIERI,Matera,67,4071,Italy,2,14,41744
489,40.666329,16.613107,Affittacamere,MATA SUITE,FERULLI SALVATORE,RECINTO SANTA MARIA 11,Matera,159,1334,Italy,1,2,42587
490,40.6665147,16.6036875,Affittacamere,MATERA IN VACANZA SRLS,MATERA IN VACANZA SRLS,VIA DON MINZONI 10,Matera,71,479,Italy,30,11,42425
491,40.673198,16.584746,Affittacamere,MATERA SASSI ROOMS21/B,IMECO-GAUDIANOI SRL,VIA BENEDETTO CROCE 21/A,Matera,68,1053,Italy,64,6,42362
492,40.673198,16.584746,Affittacamere,MATERA SASSI ROOMS 21/A,IMECO-GAUDIANOI SRL,VIA BENEDETTO CROCE 21/A,Matera,68,1033,Italy,64,5,42361
493,40.6642679,16.6036248,Affittacamere,MYRICAE,MARTINA MARIA RIPOLI,VIA GRAMSCI 4,Matera,71,461,Italy,7,10,42453
494,40.6661359,16.6117184,Affittacamere,AFFITTACAMERE NEL MURO,CIARFAGLIA GIUSEPPE,P.TTA SAN BIAGIO 17/18,Matera,159,,Italy,8,4,42282
495,40.6715972,16.6041489,Affittacamere,NONNA ROSARIA AFFITTACAMERE,TARASCO MARIO,VIA ANNUNZIATELLA 153,Matera,71,58,Italy,4,7,42411
496,40.6683262,16.609136,Affittacamere,PALAZZO DEGLI ABATI,ANDRULLI VITA MARIA,P.ZZA S. PIETRO BARISANO 27-28-29,Matera,159,130,Italy,5,14,41509
498,40.6659777,16.6044848,Affittacamere,PIAZZA MULINO 26,OPERA SRL,PIAZZA MULINO 26,Matera,71,1630,Italy,115,3,42349
499,40.6780042,16.5946497,Affittacamere,PLANET SERVICE,PLANET SERVICE COOP.RESP.LIMITATA,VIA SAN PARDO 80,Matera,70,447,Italy,4,15,42089
501,40.6659269,16.6074773,Affittacamere,RESIDENZA AL CENTRO,PRESIDENT HOTEL SNC,VIA DEL CORSO 7,Matera,159,3841,Italy,35,13,43206
502,40.6659269,16.6074773,Affittacamere,RESIDENZA DEL CORSO,PRESIDENT HOTEL SNC,VIA DEL CORSO 7 INTERNO4,Matera,159,3841,Italy,34,14,43206
503,40.6634271,16.6116024,Affittacamere,RESIDENZA DELLE 12 LUNE,VITALE M.TERESA SAS,Via Bruno Buozzi 73,Matera,,,Italy,,25,40982
504,40.6649624,16.6087858,Affittacamere,SAN FRANCESCO,ROSA CARDINALE,VIA DEL CORSO 98,Matera,159,2603,Italy,3,13,41914
505,40.6661359,16.6117184,Affittacamere,SANTA BARBARA,IVAN MONTEMURRO,VIA MURO 55,Matera,159,1518,Italy,3,10,42432
506,40.6661359,16.6117184,Affittacamere,SANTA BARBARA,IVAN MONTEMURRO,VIA MURO 55 PIANO 1,Matera,159,1428,Italy,8,10,42432
507,40.669989,16.60884,Affittacamere,SANTA CESAREA,D.S.DI PIETRO DI NOIA & C. SAS,VIA SANTA CESAREA 36,Matera,159,161,Italy,22,15,41965
508,40.663171,16.6092755,Affittacamere,SASSISEDICIDICIOTTO,TUBAZIO ANNA MARIA,VICO 1° DUNI 16-18,Matera,159,2921,Italy,6,8,42466
509,40.666954,16.607546,Affittacamere,SASSISUITE,GBM TURISM SRL /MASSIMO DIMO,VIA ROSARIO 15-24,Matera,159,556,Italy,5,10,42444
510,40.6611822,16.6125711,Affittacamere,TORRETTA AI SASSI,TORRETTA AI SASSI SRL,VICO 1 CASALNUOVO,Matera,159,4146,Italy,4,10,42613
511,40.6811883,16.6047174,Affittacamere,VILLA DELLA PALOMBA,LUCIANO CARENZA,LA PALOMBA,Matera,52,44,Italy,4,9,41943
512,40.6678407,16.6091579,Affittacamere,IL CORTILETTO DEI SASSI,MARIA BEATRICE CONTE,VIA SAN ROCCO  20,Matera,159,450,Italy,10,4,42662
514,40.6444539,16.6241476,Affittacamere,DOMUS ANGELA MATERA,DI PEDE GIUSEPPE,VIA T. RICCIARDI 11,Matera,106,66,Italy,5,5,42592
516,40.6659602,16.6097434,Affittacamere,RESIDENZA DEI SUONI,ASCATIGNO GIUSEPPINA,PIAZZA SEDILE 17,Matera,159,754,Italy,10,10,42699
518,40.6588776,16.6156876,Affittacamere,TERRAZZA SANTA BARBARA,TERRAZZA SANTA BARBARA SNC. RICCARDI ANNA ROSA & CASCIARO LUCIA,VIA CASALNUOVO 245,Matera,159,2992,Italy,5,8,42692
519,40.6776933,16.5856624,Affittacamere,HELLO MATERA,ADORISIO GIUSEPPE,VIA MEUCCI 11,Matera,68,530,Italy,8,6,42685
521,40.6664793,16.6029881,Affittacamere,SOTTO L'ARCO,DANILO PAOLICELLI,VIA DON MINZONI 9,Matera,71,483,Italy,5,4,42760
522,40.6627001,16.6069833,Affittacamere,RESIDENZA DEL MAESTRO,LUIGI MONTEMURRO,VIA ANDREA SERRAO 49,Matera,103,175,Italy,12,4,43095
523,40.6602606,16.6127892,Affittacamere,ENJOI MATERA,AFFARE FATTO SRL,VIA LUCANA 249,Matera,159,2537,Italy,11,9,43213
524,40.6597688,16.6135545,Affittacamere,LIMEN MATERA,THE KIDULT'S ANSWER LABORATORY SR,VIA LUCANA 271,Matera,159,3510,Italy,11,9,42789
525,40.6814767,16.5297298,Affittacamere,VILLA BRUNA COUNTRY HOLIDAY,CICCHETTI PAOLO,C.DA MONACELLE,Matera,65,828,Italy,12,5,42813
526,40.6663126,16.6049227,Affittacamere,PERSIO 31,ANGELA BRUNA GRANDE,VIA ASCANIO PERSIO31,Matera,159,3030,Italy,15,4,42818
527,40.6739336,16.6013459,Affittacamere,CASA DELL'ARTISTA,DANILO ACQUASANTA,VIA LIGURIA 19,Matera,159,4855,Italy,2,6,42565
528,40.6682698,16.6066923,Affittacamere,IL GIRAMONDO,LAPOLLA DONATELLA,VICO XX SETTEMBRE 2 BIS,Matera,159,2737,Italy,62,8,42857
529,40.672253,16.6075648,Affittacamere,BOOK &BED LA GEMMA DEI SASSI,MANGINI EUSTACHIO VINCENZO,VIA GATTINI 36,Matera,159,3718,Italy,1,6,42844
530,40.733959,16.570348,Affittacamere,LA MAISON,APPIO FRANCESCO,CONTRADA CICCOLOCANE,Matera,13,622,Italy,4,12,42866
531,40.6672354,16.6036485,Affittacamere,MATERA GUEST HOUSE,DI CORLETO FRANCESCO,VIA ROMA 28,Matera,159,3804,Italy,22,7,42867
532,40.6639544,16.6111861,Affittacamere,ALLE GROTTE,ROSANGELA DIGIROLAMO,VIA B. BUOZZI 170-172,Matera,159,2125,Italy,1,6,42837
533,40.6744533,16.5996999,Affittacamere,DIMORA DELL'ANNUNZIATA,RICCARDI ANNUNZIATA,VIA SARRA 16,Matera,159,4803,Italy,4,4,42871
534,40.663697,16.609497,Affittacamere,A VISTA SUI SASSI CIVICO  16,ANNUNZIATA GRAZIANO,VICO CASE NUOVE 16,Matera,159,2573,Italy,2,6,42893
535,40.6633785,16.6119767,Affittacamere,ALLA DOLCE VITA,EUSTACHIO V. ALTIERI,RIONE MALVE 51,Matera,159,2218,Italy,4,14,42905
536,40.661256,16.6123327,Affittacamere,ACCADIESSE CAMERE,MATERAMA DI ROCCO CORRADO&C. SNC,vico 3° casalnuovo 16,Matera,159,2995,Italy,31,8,42863
537,40.6683837,16.6087421,Affittacamere,LOCANDA DI S. MARTINO DEPENDANCE E SPA,CE.DA.T.S. SRL,RIONE S. BIAGIO 20.21.74.75.76.77,Matera,159,190,Italy,1,10,42956
538,40.6655357,16.6022378,Affittacamere,ROSELLA'S ROOMS,CASERTA GIUSEPPE,VIA CAPPELLUTI 18,Matera,71,221,Italy,28,8,42956
539,40.662947,16.611805,Affittacamere,IL GECO,DANIELA ALTIERI,RIONE MALVE  76,Matera,159,2263,Italy,1,5,42985
540,40.666275,16.607058,Affittacamere,SOGNANDO MATERA,SOGNANDO MATERA SRLS,VICO SAN GIUSEPPE 13,Matera,159,664,Italy,1,4,42872
541,40.6655357,16.6022378,Affittacamere,LE DUE NICCHIE,GIULIO SIGNORELLA,VIA CAPPELLUTI 18,Matera,71,221,Italy,4,5,43100
795,40.66465314,16.61160325,Affittacamere,AGLI ARCHI -DIMORE STORICHE,NOVIELLO MICHELE,rione pianelle/gradelle s.pietro caveoso,Matera,159,1703,Italy,2,18,41271
796,40.66574939,16.61299091,Affittacamere,AI QUARTI SOTTANI,ATS.SRL DOMENICO VENEZIA,VIA MADONNA DELLE VIRTU' 75/VIA SANT'ANGELO 27,Matera,159,1353,Italy,2,10,41788
797,40.6663798,16.61042458,Affittacamere,ALLA DIMORA DI CHIARA,ALLA DIMORA DI CHIARA SRL,VIA SAN GENNARO 3,Matera,159,791,Italy,5,20,42307
798,40.66814634,16.60455584,Affittacamere,ALMA CAMERE,ANNA RITA LASALA,VIA DE SARIIS 12,Matera,159,3732,Italy,2,15,42122
799,40.66500114,16.61024684,Affittacamere,ANTICO CONVICINO,ANNA MARIA BRUCOLI,VIA SAN PIETRO CAVEOSO 19 20 21 22 24 29 30,Matera,159,1793,Italy,2,13,41914
800,40.66779115,16.60722428,Affittacamere,CASA 2019,GIOVANNA CASTELLANO,VICO XX SETTEMBRE 6,Matera,159,3550,Italy,24,6,42429
801,40.66855606,16.604316,Affittacamere,FRAMMENTI RESIDENCE,LUCA D'ERCOLE,VIA L. PROTOSPATA 31,Matera,159,4917,Italy,4,12,42446
802,40.66797978,16.686544,Affittacamere,GRAN CASALE DELLE GRAVINE,GRAN CASALE DELLE GRAVINE SRL,LOCALITA' ALVINO KM.10SS.7,Matera,79,153,Italy,3,8,42031
803,40.66971339,16.60825794,Affittacamere,HIDRYA RESIDENCE,ARTEC DI DI CUIA FRANCESCO P.,VIA PIAVE 10-12 E VICOLO PIAVE 2,Matera,159,3565,Italy,1,11,42443
804,40.66733639,16.61108922,Affittacamere,I GIARDINI DI PIETRA,I GIARDINI DI PIETRA SRL,VIA GRADONI DUOMO 16,Matera,159,1137,Italy,1,18,42297
805,40.66779071,16.60985871,Affittacamere,I TERRAZZINI,VERRASCINA,VIA D'ADDOZIO 148,Matera,159,294,Italy,3,18,43276
806,40.66422769,16.60009137,Affittacamere,IL PRIORE HOLLIDAY HOME,PISCIOTTA MARIA ROSARIA,VIA CAPPELLUTI 63,Matera,71,448,Italy,16,4,42516
807,40.66697904,16.60779272,Affittacamere,LA CASA DI ELE 2,MARCOSANO RAFFAELE,VIA ROSARIO2 VIA SAN BIAGIO26,Matera,159,571,Italy,7,17,41524
808,40.66825483,16.60878529,Affittacamere,LA CASA DI GIO',PIGRECO ROOMS DI GRIECO PATRIZIA,RIONE SAN BIAGIO 9 E 43,Matera,159,178,Italy,3,5,42699
810,40.6703411,16.60785992,Affittacamere,LE VOLTE,SUDTEKNE SRL,VIA G. BATTISTA  19 PIANO TERRA,Matera,159,3601,Italy,7,16,42586
811,40.66606613,16.60903258,Affittacamere,LO SPLENDORE DEI SASSI,ANDRISANI LUCIA,VIA SPARTIVENTO 18 BIS,Matera,159,714,Italy,6,4,42521
812,40.66662155,16.6037388,Affittacamere,MATERA IN VACANZA SRLS,MATERA IN VACANZA SRLS,1° PIANO VIA D. MINZONI 10,Matera,71,479,Italy,30,11,42300
813,40.6731032,16.5851171,Affittacamere,MATERA SASSI ROOMS 21/B,IMECO-GAUDIANO SRL,VIA BENEDETTO CROCE  21/B,Matera,68,1033,Italy,64,11,42360
814,40.66726,16.607283,Affittacamere,NEL MURO,CIARFAGLIA GIUSEPPE,PIAZZETTA SAN BIAGIO 17-18,Matera,159,,Italy,6,9,42282
816,40.6470963,16.62761104,Affittacamere,OFRA MATERA,MARIA CARMELA BRUNO,C.DA AGNA LOC. DE LENA snc.,Matera,107,514,Italy,1,7,42685
817,40.66752109,16.60999272,Affittacamere,RIZZI RESIDENCE,RIZZI EUSTACHIO,VIA SAN GIOVANNI VECCHIO 72-73,Matera,159,302,Italy,5,8,42683
818,40.6703411,16.60785992,Affittacamere,LE VOLTE -DEPENDANCE,SUDTEKNE SRL,VIA G.B. PENTASUGLIA 11 1 PIANO,Matera,159,3601,Italy,1,16,43250
819,40.66686075,16.61029364,Affittacamere,IL PALAZZOTTO,D & D  SRL,VIA VETERA 84,Matera,159,876,Italy,1,4,42727
820,40.66618239,16.60634591,Affittacamere,VITTORIO VENETO,MORELLI MARIANGELA,VIA ASCANIO PERSIO 2 1 PIANO,Matera,159,2707,Italy,16,9,42726
821,40.66841688,16.60672599,Affittacamere,PIAZZA KE',ADRIANA PIGNATELLI,REC. MARIO PAGANO 13 2° -3° PIANO,Matera,159,863,Italy,16,12,42733
822,40.6470963,16.62761104,Affittacamere,OFRA MATERA,MARIA CARMELA BRUNO,C.DA AGNA LOC. DE LENA snc.,Matera,107,514,Italy,1,7,42685
823,40.67259993,16.60021658,Affittacamere,TESTA O CROCE,DE RISO BEATRICE,VIA DELLA CROCE  9/A 1°PIANP,Matera,71,787,Italy,2,6,42803
824,40.66321181,16.60896089,Affittacamere,VICOLO FIORE,VINCENZO FIORE,VICO II E. DUNI 16,Matera,159,2997,Italy,5,4,42800
825,40.66527648,16.6037846,Affittacamere,NICOLA'S LUXURY ROOMS,NICOLA'S 15 di moramarco luigi &c.,VIA TORRACA 26,Matera,71,464,Italy,1,7,42814
827,40.66808562,16.58139898,Affittacamere,LA VILETTA,XENIA MATERA SAS,C.DA SAN GIACOMO snc,Matera,97,939,Italy,2,11,42828
828,40.67003299,16.60827742,Affittacamere,LE ORIGINI DEPANDANCE,EUSTACHIO D'ERCOLE,VIA PIAVE 23,Matera,159,3574,Italy,10,16,42844
829,40.6665153,16.60840774,Affittacamere,PIANO PIANO,TG26 SRL,REC.1° FIORENTINI 3,Matera,159,430,Italy,2,8,42842
830,40.6588951,16.61563168,Affittacamere,L'ALBA ROSA,CAPPIELLO PIETRO ANTONIO,VIA LUCANA 319/B,Matera,159,4595,Italy,8,5,42885
831,40.66581936,16.61037957,Affittacamere,ANTICA TORRE DI IUSO,MELLI ALINA,VIA DUOMO 10  terzo piano,Matera,159,1542,Italy,19,8,42925
832,40.66541911,16.61140029,Affittacamere,MAISON D'HAUTE MAISON D'AX,TITO DIMAGGIO,VIA MURO 38,Matera,159,1446,Italy,1,16,42983
833,40.66880158,16.61059025,Affittacamere,THYMUS RESIDENCE MATERA,MONTANI SRL,VIA CASALE 26-27-28-29-30-31-,Matera,159,1035,Italy,1,19,42944
834,40.67642336,16.57217023,Affittacamere,LATORRE  AFFITTACAMERE,LATORRE ARTE sas,VIA DEL COMMERCIO 24,Matera,67,2086,Italy,,9,42998
835,40.6628572,16.60897228,Affittacamere,DIMORA FRANCESCA,MAZZOCCOLI GIOVANNI PAOLO,VICO DI VIA EMANUELE DUNI 7,Matera,159,3007,Italy,13,4,43011
836,40.67031207,16.60803974,Affittacamere,MATER AQUAE,BRUNA DI PELO,VIA G.B. PENTASUGLIA  15,Matera,159,3604,Italy,2,8,43076
837,40.6627931,16.6116045,Affittacamere,COMERA,MUSCARIDOLA COSTRUZIONI SRL,N.D. CONCHE  20-21,Matera,159,2272,Italy,4,15,43160
838,40.67150146,16.60519638,Affittacamere,IN DIES,CHIETERA MARIO,PIA.ZZ.TTA SINISGALLI 15,Matera,159,5223,Italy,44,11,43091
844,40.66581057,16.60447637,Affittacamere,CENTRAL HOUSE,GBM TOURISM SRL,P.ZZA MULINO 19,Matera ,71,1630,Italy,71,4,42681
846,40.70523425,16.58451371,Affittacamere,NOLE' ROOMS,AUTOLINEE NOLE' SRL,CONTRADA RONDINELLE,Matera,31,492,Italy,3,6,42711
847,40.66479631,16.60217473,Affittacamere,SONOHRA,VELVET DI GRIECO ANNA MARIA,VICO II PASSARELLI 7,Matera,71,335,Italy,7,4,43152
848,40.66589774,16.61145504,Affittacamere,LA CASA DI NADI',BIANCHI GIUSEPPE,SALITA CASTELVECCHIO 4,Matera,159,1518,Italy,9,10,43100
849,40.66467384,16.61024866,Affittacamere,LE TRE VIE DI MARIANGELA TARASCO,MARIANGELA TARASCO,VIA SAN PIETRO CAVEOSO 34,Matera,159,1772,Italy,7,6,43165
850,40.66821714,16.60945147,Affittacamere,PIETRAGIALLA,SABINO GIACOMO,VIA D'ADDOZIO 94,Matera,159,241,Italy,5,9,43104
852,40.67031207,16.60803974,Affittacamere,HAPPY APARTMENTS,CASTRIA GIUSEPPE,VIA PENTASUGLIA 11,Matera,159,3604,Italy,15,5,43174
853,40.66593656,16.60975058,Affittacamere,DIMORA DEL CAMPO- GUEST HOUSE,PASSARELLI CARLA  MARIA ROSARIA,PIAZZA SEDILE 17,Matera,159,754,Italy,12,5,43256
854,40.66700043,16.61047154,Affittacamere,AI MAESTRI ROOMS & CAFFE',MADE SNC DI GIASI MADDALENA & C.,VIA SETTE DOLORI 58-62-64,Matera,159,872,Italy,1,9,43265
855,40.66801969,16.60967973,Affittacamere,AI TERRAZZINI,VALENTINA VERRASCINA &C SAS,VIA D'ADDOZIO 141,Matera,159,274,Italy,1,18,43276
856,40.66691048,16.6080207,Affittacamere,L'ABBRACCIO DEI SASSI,PIGRECO DI GRECO PATRIZIA,VIA FORNACI VECCHIE,Matera,159,578,Italy,6,6,43280
857,40.66836766,16.60372587,Affittacamere,LO STRAZZO,ZITO MARIAGRAZIA,VIA DE SARIIS 43,Matera,159,3735,Italy,15,10,43280
858,40.66749597,16.60466766,Affittacamere,LIDIA CHAMBRE D'HOTES,ANNAMARIA AMOROSO,VIA LUCANA 38,Matera,159,3758,Italy,10,8,42604
859,40.661859,16.61075868,Affittacamere,GUEST HOUSE DEI SASSI 42,MATERAMA DI ROCCO CORRADO & C. SNC,VIA CASALNUOVO 42,Matera,159,2548,Italy,3,9,43334
860,40.661859,16.61075868,Affittacamere,GUEST HOUSE DEI SASSI 44,MATERAMA DI ROCCO CORRADO & C SNC,VIA CASALNUOVO 44,Matera,159,2548,Italy,2,9,43334
861,40.6698641,16.60752316,Affittacamere,RESIDENCE I DUE FRATELLI,ALINA IMBREA,VIA FRANCESCO PAOLO FESTA 6,Matera,159,3472,Italy,7,7,43325
862,40.66599837,16.61165652,Affittacamere,NEL MURO,GIUSEPPE CIARFAGLIA,VIA MURO 55,Matera,159,1428,Italy,24,9,42122
863,40.66079,16.611736,Affittacamere,AFFITTACAMERE VISTA SUI SASSI,ANNUNZIATA GRAZIANO,VIA LUCANA 229,Matera,,,Italy,,8,42387
864,40.63840902,16.62321318,Affittacamere,LA CASA DI RAFFAELE,PAOLO RAFFAELE,CONTRADA AGNA LE PIANE ,Matera,114,1215,Italy,3,9,43354
865,40.671716,16.608429,Affittacamere,CASA FESTA ,ROCCO FESTA ,VIA SANTO STEFANO 55,Matera,,,Italy,,,
866,40.66978,16.608264,Affittacamere,HYDRIA RESIDENCE,ARTEC DI DI CUIA FRANCESCO PAOLO,VIA PIAVE,Matera,159,3565,Italy,4,10,42447
868,40.666574,16.603974,Affittacamere,PIETRE E SASSI,PIETRE E SASSI SRLS,VIA DON MINZONI 4,Matera,71,196,Italy,5,12,43397
870,40.662726,16.606803,Affittacamere,CENTRAL ROOMS MATERA,SPR S.N.C. DI GRASSI SARIO & C.,ANDREA SERRAO 16,Matera,103,630,Italy,4,10,43396
872,40.66273,16.606793,Affittacamere,CONCHE,TINA RONDINONE,VICO DI VIA CONCHE 8 9 10 11 12,Matera,159,2283,Italy,14,14,43403
873,40.662473,16.610109,Affittacamere,PALAZZO MONTEMURRO,CREATRE DI PASQUALE ED ANTONELLA MONTEMURRO,VIA RIDOLA 49,Matera,159,2558,Italy,9,9,43399
874,40.666799,16.603101,Affittacamere,L'OSPITE,BRANDI MARIA GRAZIA,VICO SECONDO DON MINZONI 1,Matera,,,Italy,,15,43315
875,40.664384,16.602547,Affittacamere,AFFITTACAMERE PIGNATELLI,PIGNATELLI GIUSEPPE,VICO PRIMO PASSARELLI 10,Matera,71,428,Italy,10,7,43423
876,40.675657,16.574885,Affittacamere,MASSERIA SANTA LUCIA DUE,MASSERIA SANTA LUCIA sas,VIA DELL'AGRICOLTURA,Matera,67,12,Italy,20,8,43412
877,40.666576,16.609633,Affittacamere,IL GIARDINO DI ELEONORA,AMOROSO MASSIMO,VIA SETTE DOLORI 18,Matera,159,784,Italy,14,10,43419
878,40.65945,16.607297,Affittacamere,ACCASA,ACCASA SNC DI NICOLETTI ANTONELLA & C.,VIA PASQUALE VENA 87,Matera,103,398,Italy,7,12,43467
879,40.674743,16.599516,Affittacamere,LA VOLTA BUONA,VALERIA MANICONE,VIA ISTRIA 12,Matera,159,4751,Italy,43,6,43493
880,40.645742,16.623201,Affittacamere,UN POSTO AL SOLE,MANLEVA TOUR MURAGLIA MARCO,VIA FRANCESCO E NATALE FARINA 46,Matera,106,146,Italy,2,3,43461
